First point of data acquisition:
2024-07-19, 09:59:39
Sample n. 4, Corrosion current -10mV/microAmpere. 
Ch1 V, Ch2 V, Time
-0.242,-0.279,2024-07-19 10:06:12
-0.243,-0.280,2024-07-19 10:06:13
-0.244,-0.280,2024-07-19 10:06:13
-0.246,-0.282,2024-07-19 10:06:14
-0.248,-0.283,2024-07-19 10:06:14
-0.249,-0.284,2024-07-19 10:06:15
-0.251,-0.285,2024-07-19 10:06:15
-0.252,-0.286,2024-07-19 10:06:16
-0.255,-0.287,2024-07-19 10:06:16
-0.218,-0.235,2024-07-19 10:06:17
-0.216,-0.235,2024-07-19 10:06:17
-0.213,-0.232,2024-07-19 10:06:18
-0.211,-0.232,2024-07-19 10:06:18
-0.267,-0.293,2024-07-19 10:06:19
-0.271,-0.295,2024-07-19 10:06:19
-0.274,-0.297,2024-07-19 10:06:20
-0.277,-0.299,2024-07-19 10:06:20
-0.280,-0.300,2024-07-19 10:06:21
-0.281,-0.301,2024-07-19 10:06:21
-0.248,-0.276,2024-07-19 10:13:16
-0.246,-0.275,2024-07-19 10:13:16
-0.244,-0.273,2024-07-19 10:13:17
-0.242,-0.271,2024-07-19 10:13:17
-0.243,-0.272,2024-07-19 10:13:18
-0.248,-0.270,2024-07-19 10:13:18
-0.251,-0.273,2024-07-19 10:13:19
-0.246,-0.270,2024-07-19 10:13:19
-0.247,-0.271,2024-07-19 10:13:20
-0.246,-0.271,2024-07-19 10:13:20
-0.248,-0.272,2024-07-19 10:13:21
-0.247,-0.271,2024-07-19 10:13:21
-0.248,-0.272,2024-07-19 10:13:22
-0.247,-0.271,2024-07-19 10:13:22
-0.245,-0.270,2024-07-19 10:13:23
-0.247,-0.271,2024-07-19 10:13:23
-0.246,-0.273,2024-07-19 10:13:24
-0.248,-0.273,2024-07-19 10:13:24
-0.247,-0.272,2024-07-19 10:13:25
-0.252,-0.284,2024-07-19 10:20:19
-0.252,-0.284,2024-07-19 10:20:19
-0.252,-0.284,2024-07-19 10:20:20
-0.252,-0.284,2024-07-19 10:20:20
-0.250,-0.270,2024-07-19 10:20:21
-0.250,-0.270,2024-07-19 10:20:21
-0.250,-0.271,2024-07-19 10:20:22
-0.250,-0.273,2024-07-19 10:20:22
-0.250,-0.273,2024-07-19 10:20:23
-0.249,-0.274,2024-07-19 10:20:23
-0.252,-0.277,2024-07-19 10:20:24
-0.252,-0.277,2024-07-19 10:20:24
-0.252,-0.275,2024-07-19 10:20:25
-0.251,-0.274,2024-07-19 10:20:25
-0.250,-0.273,2024-07-19 10:20:26
-0.251,-0.272,2024-07-19 10:20:26
-0.252,-0.281,2024-07-19 10:20:27
-0.252,-0.282,2024-07-19 10:20:27
-0.252,-0.283,2024-07-19 10:20:28
-0.266,-0.297,2024-07-19 10:27:23
-0.269,-0.300,2024-07-19 10:27:24
-0.268,-0.299,2024-07-19 10:27:24
-0.267,-0.298,2024-07-19 10:27:25
-0.267,-0.299,2024-07-19 10:27:25
-0.268,-0.298,2024-07-19 10:27:26
-0.233,-0.255,2024-07-19 10:27:26
-0.232,-0.256,2024-07-19 10:27:27
-0.235,-0.257,2024-07-19 10:27:27
-0.235,-0.256,2024-07-19 10:27:28
-0.237,-0.258,2024-07-19 10:27:28
-0.238,-0.259,2024-07-19 10:27:29
-0.264,-0.296,2024-07-19 10:27:29
-0.266,-0.298,2024-07-19 10:27:30
-0.262,-0.295,2024-07-19 10:27:30
-0.266,-0.296,2024-07-19 10:27:31
-0.264,-0.294,2024-07-19 10:27:31
-0.264,-0.292,2024-07-19 10:27:32
-0.239,-0.263,2024-07-19 10:27:32
-0.245,-0.262,2024-07-19 10:34:27
-0.243,-0.261,2024-07-19 10:34:27
-0.243,-0.261,2024-07-19 10:34:28
-0.242,-0.260,2024-07-19 10:34:28
-0.261,-0.296,2024-07-19 10:34:29
-0.261,-0.295,2024-07-19 10:34:29
-0.262,-0.295,2024-07-19 10:34:30
-0.262,-0.295,2024-07-19 10:34:30
-0.262,-0.295,2024-07-19 10:34:31
-0.264,-0.296,2024-07-19 10:34:31
-0.237,-0.260,2024-07-19 10:34:32
-0.236,-0.260,2024-07-19 10:34:32
-0.236,-0.261,2024-07-19 10:34:33
-0.235,-0.262,2024-07-19 10:34:33
-0.236,-0.262,2024-07-19 10:34:34
-0.267,-0.293,2024-07-19 10:34:34
-0.269,-0.293,2024-07-19 10:34:35
-0.269,-0.293,2024-07-19 10:34:35
-0.268,-0.293,2024-07-19 10:34:36
