First point of data acquisition:
2024-07-19, 09:59:39
Sample n. 5, Potential measurament V. 
Ch1 V, Ch2 V, Time
-0.213,-0.217,2024-07-19 10:05:21
-0.203,-0.202,2024-07-19 10:05:21
-0.194,-0.187,2024-07-19 10:05:22
-0.186,-0.173,2024-07-19 10:05:22
-0.174,-0.156,2024-07-19 10:05:23
-0.166,-0.144,2024-07-19 10:05:23
-0.388,-0.340,2024-07-19 10:05:24
-0.392,-0.349,2024-07-19 10:05:24
-0.396,-0.359,2024-07-19 10:05:25
-0.401,-0.368,2024-07-19 10:05:25
-0.404,-0.376,2024-07-19 10:05:26
-0.144,-0.090,2024-07-19 10:05:26
-0.145,-0.083,2024-07-19 10:05:27
-0.147,-0.077,2024-07-19 10:05:27
-0.148,-0.074,2024-07-19 10:05:28
-0.148,-0.071,2024-07-19 10:05:28
-0.149,-0.068,2024-07-19 10:05:29
-0.152,-0.069,2024-07-19 10:05:29
-0.391,-0.404,2024-07-19 10:05:30
-0.271,-0.239,2024-07-19 10:12:24
-0.266,-0.235,2024-07-19 10:12:25
-0.271,-0.235,2024-07-19 10:12:25
-0.275,-0.236,2024-07-19 10:12:26
-0.271,-0.234,2024-07-19 10:12:26
-0.272,-0.233,2024-07-19 10:12:27
-0.265,-0.227,2024-07-19 10:12:27
-0.260,-0.225,2024-07-19 10:12:28
-0.307,-0.265,2024-07-19 10:12:28
-0.295,-0.261,2024-07-19 10:12:29
-0.300,-0.263,2024-07-19 10:12:29
-0.292,-0.260,2024-07-19 10:12:30
-0.292,-0.260,2024-07-19 10:12:30
-0.284,-0.255,2024-07-19 10:12:31
-0.290,-0.239,2024-07-19 10:12:31
-0.292,-0.241,2024-07-19 10:12:32
-0.296,-0.244,2024-07-19 10:12:32
-0.296,-0.247,2024-07-19 10:12:33
-0.299,-0.249,2024-07-19 10:12:33
-0.287,-0.237,2024-07-19 10:19:28
-0.287,-0.237,2024-07-19 10:19:28
-0.288,-0.237,2024-07-19 10:19:29
-0.288,-0.237,2024-07-19 10:19:29
-0.293,-0.262,2024-07-19 10:19:30
-0.293,-0.262,2024-07-19 10:19:30
-0.292,-0.262,2024-07-19 10:19:31
-0.291,-0.261,2024-07-19 10:19:31
-0.292,-0.261,2024-07-19 10:19:32
-0.292,-0.261,2024-07-19 10:19:32
-0.290,-0.239,2024-07-19 10:19:33
-0.291,-0.240,2024-07-19 10:19:33
-0.291,-0.240,2024-07-19 10:19:34
-0.292,-0.241,2024-07-19 10:19:34
-0.292,-0.243,2024-07-19 10:19:35
-0.289,-0.256,2024-07-19 10:19:35
-0.288,-0.256,2024-07-19 10:19:36
-0.286,-0.253,2024-07-19 10:19:36
-0.284,-0.252,2024-07-19 10:19:37
-0.295,-0.239,2024-07-19 10:26:31
-0.293,-0.239,2024-07-19 10:26:32
-0.293,-0.240,2024-07-19 10:26:32
-0.293,-0.235,2024-07-19 10:26:33
-0.290,-0.238,2024-07-19 10:26:33
-0.297,-0.265,2024-07-19 10:26:34
-0.299,-0.266,2024-07-19 10:26:34
-0.300,-0.266,2024-07-19 10:26:35
-0.299,-0.267,2024-07-19 10:26:35
-0.299,-0.268,2024-07-19 10:26:36
-0.300,-0.269,2024-07-19 10:26:36
-0.287,-0.238,2024-07-19 10:26:37
-0.287,-0.238,2024-07-19 10:26:37
-0.287,-0.238,2024-07-19 10:26:38
-0.287,-0.238,2024-07-19 10:26:38
-0.295,-0.262,2024-07-19 10:26:39
-0.301,-0.264,2024-07-19 10:26:39
-0.300,-0.263,2024-07-19 10:26:40
-0.298,-0.262,2024-07-19 10:26:40
-0.299,-0.302,2024-07-19 10:33:36
-0.298,-0.301,2024-07-19 10:33:36
-0.298,-0.302,2024-07-19 10:33:37
-0.298,-0.302,2024-07-19 10:33:37
-0.298,-0.302,2024-07-19 10:33:38
-0.298,-0.302,2024-07-19 10:33:38
-0.289,-0.195,2024-07-19 10:33:39
-0.289,-0.194,2024-07-19 10:33:39
-0.289,-0.194,2024-07-19 10:33:40
-0.290,-0.194,2024-07-19 10:33:40
-0.289,-0.195,2024-07-19 10:33:41
-0.298,-0.303,2024-07-19 10:33:41
-0.299,-0.304,2024-07-19 10:33:42
-0.299,-0.302,2024-07-19 10:33:42
-0.299,-0.301,2024-07-19 10:33:43
-0.298,-0.298,2024-07-19 10:33:43
-0.299,-0.296,2024-07-19 10:33:44
-0.289,-0.205,2024-07-19 10:33:44
-0.288,-0.208,2024-07-19 10:33:45
